date,date,Estacion,weekday,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
2023-01-01 00:00:00,2023-01-01 00:00:00,NOROESTE2,Domingo,2.07,31.6,40.6,72,7,398,221.6,700.3,0,53,2.1,,15.93,4.6,
2023-01-01 01:00:00,2023-01-01 01:00:00,NOROESTE2,Domingo,2.09,11.3,30.1,41.3,5,265,114.16,699.9,0,53,2,,14.96,6.2,
2023-01-01 02:00:00,2023-01-01 02:00:00,NOROESTE2,Domingo,2.17,39.4,31.7,70.9,5,167,84.92,699.4,0,54,2.1,,14.51,3.4,
2023-01-01 03:00:00,2023-01-01 03:00:00,NOROESTE2,Domingo,2.21,13.6,27,40.5,6,133,63.62,699.2,0,55,2.1,,14.23,7.1,
2023-01-01 04:00:00,2023-01-01 04:00:00,NOROESTE2,Domingo,2.15,6.1,16.4,22.5,10,86,29.06,699.2,0,52,2.2,,14.23,12.3,
2023-01-01 05:00:00,2023-01-01 05:00:00,NOROESTE2,Domingo,2.19,5.5,16.3,21.7,10,58,24.83,699.3,0,50,2.1,,14.34,9.8,
2023-01-01 06:00:00,2023-01-01 06:00:00,NOROESTE2,Domingo,2.17,5.2,15.8,21.1,11,51,25.18,699.2,0,49,2.1,,14.07,9.7,
2023-01-01 07:00:00,2023-01-01 07:00:00,NOROESTE2,Domingo,2.22,5.3,17.6,22.9,11,42,21.96,699.4,0,45,2.3,,14.74,11.1,
2023-01-01 08:00:00,2023-01-01 08:00:00,NOROESTE2,Domingo,2.22,6.5,17.4,23.9,11,46,21.18,699.9,0,45,2.2,,14.52,9.8,
2023-01-01 09:00:00,2023-01-01 09:00:00,NOROESTE2,Domingo,2.17,7.2,12.6,19.7,16,52,19.69,700.3,0,43,2.7,,15.84,12.3,
2023-01-01 10:00:00,2023-01-01 10:00:00,NOROESTE2,Domingo,2.14,8.7,12.2,20.9,19,65,18.28,700.4,0,33,3.6,,19.76,10,
2023-01-01 11:00:00,2023-01-01 11:00:00,NOROESTE2,Domingo,2.13,8.4,11.3,19.9,23,57,15.11,700.3,0,26,3.1,,23.74,12.8,
2023-01-01 12:00:00,2023-01-01 12:00:00,NOROESTE2,Domingo,2.05,7.5,10.2,17.6,29,39,11.14,699.7,0,21,2.8,,27.41,13.4,
2023-01-01 13:00:00,2023-01-01 13:00:00,NOROESTE2,Domingo,2.15,6.3,8.5,14.7,32,36,6.77,698.8,0,15,2.4,,30.45,8.5,
2023-01-01 14:00:00,2023-01-01 14:00:00,NOROESTE2,Domingo,2.17,3.8,6.8,10.5,39,19,5.77,697.8,0,12,2.2,,32.77,6.5,
2023-01-01 15:00:00,2023-01-01 15:00:00,NOROESTE2,Domingo,2.19,3.8,7.3,11,42,20,6.66,697.2,0,13,2.3,,30.96,14.1,
2023-01-01 16:00:00,2023-01-01 16:00:00,NOROESTE2,Domingo,2.14,3.8,9.1,12.8,44,25,8.09,696.9,0,13,2.9,,30.74,15.1,
2023-01-01 17:00:00,2023-01-01 17:00:00,NOROESTE2,Domingo,2.17,3.7,10.1,13.6,45,39,10.2,696.8,0,15,3.2,,29.78,16.5,
2023-01-01 18:00:00,2023-01-01 18:00:00,NOROESTE2,Domingo,2.17,3.5,18.4,21.9,49,49,20.93,697,0,20,4.2,,28.06,12.4,
2023-01-01 19:00:00,2023-01-01 19:00:00,NOROESTE2,Domingo,2.11,3.6,21.4,25,67,60,40.18,697.5,0,28,20.6,,25.94,14.4,
2023-01-01 20:00:00,2023-01-01 20:00:00,NOROESTE2,Domingo,2.17,4.1,27.8,31.8,46,93,38.76,697.8,0,31,19.4,,24.35,8.4,
2023-01-01 21:00:00,2023-01-01 21:00:00,NOROESTE2,Domingo,2.16,4.8,38.2,42.9,33,84,41.54,698,0,34,10.7,,23.18,7.4,
2023-01-01 22:00:00,2023-01-01 22:00:00,NOROESTE2,Domingo,2.14,5.6,35.3,40.8,20,93,34.22,697.8,0,41,6.4,,22.4,8.6,
2023-01-01 23:00:00,2023-01-01 23:00:00,NOROESTE2,Domingo,2.13,10.7,34.2,44.7,11,73,30.56,697.7,0,49,3.9,,20.85,3.8,
2023-01-08 00:00:00,2023-01-08 00:00:00,NOROESTE2,Domingo,2.06,19,24.6,43.5,5,62,33.34,705.3,0,75,2.5,,17.37,4.6,
2023-01-08 01:00:00,2023-01-08 01:00:00,NOROESTE2,Domingo,2.03,18.5,22.4,40.8,5,72,31.93,705.2,0,75,2.4,,16.94,3.4,
2023-01-08 02:00:00,2023-01-08 02:00:00,NOROESTE2,Domingo,2.04,28.7,22.3,51,3,68,36.09,704.9,0,77,2.4,,16.1,3,
2023-01-08 03:00:00,2023-01-08 03:00:00,NOROESTE2,Domingo,2.09,17.1,18.5,35.5,3,77,32.54,704.6,0,79,2.4,,14.84,2.5,
2023-01-08 04:00:00,2023-01-08 04:00:00,NOROESTE2,Domingo,2.06,16.5,19.1,35.6,4,55,31.98,704.7,0,78,2.3,,15.74,2.1,
2023-01-08 05:00:00,2023-01-08 05:00:00,NOROESTE2,Domingo,2.1,11,17.6,28.6,5,57,30.28,705,0,76,2.3,,16.15,1.9,
2023-01-08 06:00:00,2023-01-08 06:00:00,NOROESTE2,Domingo,2.09,21,20.3,41.2,4,62,29.57,705.2,0,75,2.3,,16.63,1.8,
2023-01-08 07:00:00,2023-01-08 07:00:00,NOROESTE2,Domingo,2.02,25.3,20,45.3,4,63,31.25,705.5,0,74,2.3,,16.65,2.5,
2023-01-08 08:00:00,2023-01-08 08:00:00,NOROESTE2,Domingo,2.08,15.4,22.9,38.2,3,66,31.87,706,0,73,2.3,,17.14,3.1,
