date,date,Estacion,weekday,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
2023-01-05 00:00:00,2023-01-05 00:00:00,NOROESTE2,Jueves,2.06,8,28.1,36.1,18,125,21.89,705.4,0,42,3.4,,17.01,9.2,
2023-01-05 01:00:00,2023-01-05 01:00:00,NOROESTE2,Jueves,2.12,9.3,32.4,41.6,13,114,22.43,705.3,0,44,3.4,,16.54,6.5,
2023-01-05 02:00:00,2023-01-05 02:00:00,NOROESTE2,Jueves,2.06,6.5,29.6,36,12,97,21.79,705.2,0,48,3.1,,15.02,4.1,
2023-01-05 03:00:00,2023-01-05 03:00:00,NOROESTE2,Jueves,2.08,4.8,25.9,30.7,11,95,21.62,704.9,0,51,2.8,,13.84,4.1,
2023-01-05 04:00:00,2023-01-05 04:00:00,NOROESTE2,Jueves,2.07,5.5,36.9,42.3,6,102,18.82,704.8,0,50,2.7,,12.93,9,
2023-01-05 05:00:00,2023-01-05 05:00:00,NOROESTE2,Jueves,2.1,9.9,36.9,46.6,5,62,18.5,705.1,0,50,2.7,,12.65,6.6,
2023-01-05 06:00:00,2023-01-05 06:00:00,NOROESTE2,Jueves,2.07,54.2,37.6,91.6,4,60,23.63,705.3,0,53,2.9,,11.6,3.9,
2023-01-05 07:00:00,2023-01-05 07:00:00,NOROESTE2,Jueves,2.1,56.4,39.8,96,3,96,23.58,706,0,53,2.8,,11.28,3.8,
2023-01-05 08:00:00,2023-01-05 08:00:00,NOROESTE2,Jueves,2.1,38.1,38.9,76.8,4,92,22.36,706.7,0,50,2.9,,11.46,7.7,
2023-01-05 09:00:00,2023-01-05 09:00:00,NOROESTE2,Jueves,2.08,28.9,33.7,62.4,9,82,21.06,707.1,0,43,3.8,,14.12,8.1,
2023-01-05 10:00:00,2023-01-05 10:00:00,NOROESTE2,Jueves,2.09,31.2,32.7,63.7,12,76,21.89,707.5,0,34,5.9,,18.53,4.9,
2023-01-05 11:00:00,2023-01-05 11:00:00,NOROESTE2,Jueves,2.06,29.7,36.1,67.1,20,82,28.97,707.3,0,28,22.8,,23.59,3.5,
2023-01-05 12:00:00,2023-01-05 12:00:00,NOROESTE2,Jueves,1.98,7.3,18,25.3,40,84,17.98,706.9,0,25,8.4,,25.2,6.4,
2023-01-05 13:00:00,2023-01-05 13:00:00,NOROESTE2,Jueves,2.01,9.5,27,36.4,44,57,30.04,706.2,0,25,6.3,,24.74,15.3,
2023-01-05 14:00:00,2023-01-05 14:00:00,NOROESTE2,Jueves,1.98,6.2,17.4,23.6,54,139,22.34,705.3,0,24,5.2,,25,18.2,
2023-01-05 15:00:00,2023-01-05 15:00:00,NOROESTE2,Jueves,2,5.3,17.2,22.4,59,115,21.36,704.7,0,23,4.9,,25.27,17.8,
2023-01-05 16:00:00,2023-01-05 16:00:00,NOROESTE2,Jueves,2.04,4.9,17.8,22.7,62,122,20.37,704.5,0,25,4.9,,25.22,17.4,
2023-01-05 17:00:00,2023-01-05 17:00:00,NOROESTE2,Jueves,2,4.2,20.6,24.7,78,97,19.9,704.3,0,26,8.6,,24.8,16.3,
2023-01-05 18:00:00,2023-01-05 18:00:00,NOROESTE2,Jueves,2.04,3.8,23.6,27.3,79,91,22.09,704.5,0,28,16.7,,23.68,15.5,
2023-01-05 19:00:00,2023-01-05 19:00:00,NOROESTE2,Jueves,2.05,3.9,38.3,42.1,37,92,20.85,704.6,0,33,7.2,,21.8,10.6,
2023-01-05 20:00:00,2023-01-05 20:00:00,NOROESTE2,Jueves,2.09,5.9,44.1,49.9,18,94,21.15,704.9,0,37,5,,20.77,9,
2023-01-05 21:00:00,2023-01-05 21:00:00,NOROESTE2,Jueves,2.1,5.2,21.8,26.9,23,85,15.02,705.3,0,40,4.4,,21.04,14.7,
2023-01-05 22:00:00,2023-01-05 22:00:00,NOROESTE2,Jueves,2.06,4.3,15.6,19.8,24,60,12.73,705.5,0,44,4,,20.65,15.3,
