date,date,Estacion,weekday,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
2023-01-02 00:00:00,2023-01-02 00:00:00,NOROESTE2,Lunes,2.16,10.3,26.5,36.7,12,65,26.67,697.2,0,55,3.1,,19.94,3.5,
2023-01-02 01:00:00,2023-01-02 01:00:00,NOROESTE2,Lunes,2.15,6.4,17.6,24,15,54,23.77,696.8,0,59,2.8,,19.17,4.5,
2023-01-02 02:00:00,2023-01-02 02:00:00,NOROESTE2,Lunes,2.14,8.3,19.6,27.8,12,44,26.98,696.6,0,63,2.6,,18.23,4.3,
2023-01-02 03:00:00,2023-01-02 03:00:00,NOROESTE2,Lunes,2.16,4.2,17.9,22,12,48,29.05,696.6,0,62,2.5,,17.37,7.6,
2023-01-02 04:00:00,2023-01-02 04:00:00,NOROESTE2,Lunes,2.12,3.8,10.8,14.5,23,58,22.9,696.3,0,52,2.6,,17.48,9.8,
2023-01-02 05:00:00,2023-01-02 05:00:00,NOROESTE2,Lunes,2.21,5,10.2,15.1,25,47,17.36,696.2,0,42,2.9,,19.46,14.4,
2023-01-02 06:00:00,2023-01-02 06:00:00,NOROESTE2,Lunes,2.17,5.5,8.1,13.6,21,52,9.12,696.3,0,29,3.8,,21.99,15.7,
2023-01-02 07:00:00,2023-01-02 07:00:00,NOROESTE2,Lunes,2.11,7.3,8,15.2,19,60,4.79,696.9,0,25,3.3,,23.24,15,
2023-01-02 08:00:00,2023-01-02 08:00:00,NOROESTE2,Lunes,2.07,23.1,16.3,39.2,13,40,5.6,696.9,0,26,3.2,,22.73,10.4,
2023-01-02 09:00:00,2023-01-02 09:00:00,NOROESTE2,Lunes,2.08,20.3,17.6,37.8,12,42,9.61,696.9,0,29,3.2,,21.63,10.6,
2023-01-02 10:00:00,2023-01-02 10:00:00,NOROESTE2,Lunes,2.07,11.1,13.1,24.2,17,59,8.37,697.2,0,25,2.9,,24.31,9.4,
2023-01-02 11:00:00,2023-01-02 11:00:00,NOROESTE2,Lunes,2.02,9.5,7.8,17.4,22,56,7.24,697.4,0,20,2.6,,26.55,15,
2023-01-02 12:00:00,2023-01-02 12:00:00,NOROESTE2,Lunes,2.03,7.6,7,14.5,24,66,8.5,696.8,0,16,2.3,,28.22,16.9,
2023-01-02 13:00:00,2023-01-02 13:00:00,NOROESTE2,Lunes,2.04,6.9,5.9,12.8,26,138,11.22,696.2,0,13,2.2,,28.97,23,
2023-01-02 14:00:00,2023-01-02 14:00:00,NOROESTE2,Lunes,2.02,7.3,6.7,13.9,26,183,13.04,695.4,0,13,2.3,,29.86,20.9,
2023-01-02 15:00:00,2023-01-02 15:00:00,NOROESTE2,Lunes,2.12,7.4,8.1,15.4,25,191,5.28,694.8,0,13,2.3,,30.69,13.5,
2023-01-02 16:00:00,2023-01-02 16:00:00,NOROESTE2,Lunes,2.14,8.2,7.5,15.7,23,51,5.62,694.5,0,13,2.1,,30.07,17.4,
2023-01-02 17:00:00,2023-01-02 17:00:00,NOROESTE2,Lunes,2.03,9.5,10,19.5,22,40,4.24,694.4,0,13,2.1,,29.8,12.7,
2023-01-02 18:00:00,2023-01-02 18:00:00,NOROESTE2,Lunes,2.03,10.3,10.6,20.9,21,21,4.46,694.6,0,13,2,,29.07,13.7,
2023-01-02 19:00:00,2023-01-02 19:00:00,NOROESTE2,Lunes,2.03,29.2,25.6,54.8,11,21,8.18,695.1,0,16,2.5,,27.34,6.7,
2023-01-02 20:00:00,2023-01-02 20:00:00,NOROESTE2,Lunes,2.04,12,44.6,56.5,10,42,28.85,695.6,0,29,3.4,,24.64,8.1,
2023-01-02 21:00:00,2023-01-02 21:00:00,NOROESTE2,Lunes,2.07,66.6,49.9,116.3,5,100,30.67,696.3,0,31,3.6,,22.83,5.7,
2023-01-02 22:00:00,2023-01-02 22:00:00,NOROESTE2,Lunes,2.04,124.2,47.8,171.9,4,113,43.43,696.4,0,35,3.7,,20.62,4.1,
2023-01-02 23:00:00,2023-01-02 23:00:00,NOROESTE2,Lunes,2.14,107.5,41.2,148.5,4,166,46.33,696.6,0,37,3.4,,19.28,4.8,
2023-01-09 00:00:00,2023-01-09 00:00:00,NOROESTE2,Lunes,2.03,3.3,12.2,15.3,21,36,13.24,705.7,0,64,,,17.28,12.9,
2023-01-09 01:00:00,2023-01-09 01:00:00,NOROESTE2,Lunes,1.95,3,9.7,12.6,24,25,11.95,705.2,0,63,2.3,,17.17,11.7,
2023-01-09 02:00:00,2023-01-09 02:00:00,NOROESTE2,Lunes,1.93,2.7,7,9.6,26,28,11.5,704.8,0,63,2.3,,17.15,12.6,
2023-01-09 03:00:00,2023-01-09 03:00:00,NOROESTE2,Lunes,1.94,2.7,7.8,10.4,25,25,19.64,704.6,0,64,2.2,,17.09,13.7,
2023-01-09 04:00:00,2023-01-09 04:00:00,NOROESTE2,Lunes,1.96,2.7,7.5,10.1,26,45,11.47,704.5,0,65,2.2,,16.36,12.6,
2023-01-09 05:00:00,2023-01-09 05:00:00,NOROESTE2,Lunes,1.88,2.8,8.2,10.8,23,21,10.92,704.7,0,69,,,15.67,10.3,
2023-01-09 06:00:00,2023-01-09 06:00:00,NOROESTE2,Lunes,1.91,5.6,14.2,19.7,18,31,12.21,704.8,0,71,,,15.29,7.6,
2023-01-09 07:00:00,2023-01-09 07:00:00,NOROESTE2,Lunes,1.95,17.8,22.5,40.1,10,34,14.58,705.2,0,74,2.3,,15.1,4.9,
2023-01-09 08:00:00,2023-01-09 08:00:00,NOROESTE2,Lunes,1.9,20.4,22.6,42.9,8,40,17.13,705.3,0,76,2.3,,14.83,4.5,
2023-01-09 09:00:00,2023-01-09 09:00:00,NOROESTE2,Lunes,1.87,24.4,24.2,48.5,8,45,19.46,705.6,0,75,,,15.73,1.8,
2023-01-09 10:00:00,2023-01-09 10:00:00,NOROESTE2,Lunes,1.85,11.4,18.6,29.9,15,58,26.48,706,0,66,2.8,,18.73,3.4,
2023-01-09 11:00:00,2023-01-09 11:00:00,NOROESTE2,Lunes,1.84,13.7,21.4,35.7,17,70,31.33,706,0,61,4.2,,19.72,4,
2023-01-09 12:00:00,2023-01-09 12:00:00,NOROESTE2,Lunes,1.85,8.9,15.1,23.9,25,68,26.09,705.7,0,52,8.1,,21.46,5.8,
2023-01-09 13:00:00,2023-01-09 13:00:00,NOROESTE2,Lunes,1.86,7,15.1,22,32,53,32.78,704.8,0,48,7.3,,22.82,6.3,
2023-01-09 14:00:00,2023-01-09 14:00:00,NOROESTE2,Lunes,1.86,5.3,15.7,21,45,65,32.25,703.9,0,49,5.4,,22.23,10.6,
2023-01-09 15:00:00,2023-01-09 15:00:00,NOROESTE2,Lunes,1.83,4.9,23.4,28.2,55,78,39.49,703.1,0,49,4.2,,22.25,10.9,
2023-01-09 16:00:00,2023-01-09 16:00:00,NOROESTE2,Lunes,1.88,5.2,26.4,31.5,53,96,38.11,703,0,50,3.9,,22.14,13.5,
2023-01-09 17:00:00,2023-01-09 17:00:00,NOROESTE2,Lunes,1.93,5,20.5,25.4,45,98,25.89,703.1,0,51,3.6,,21.84,15,
2023-01-09 18:00:00,2023-01-09 18:00:00,NOROESTE2,Lunes,1.85,4.1,20.9,25,38,82,21.94,703.5,0,54,3.2,,20.91,13.4,
2023-01-09 19:00:00,2023-01-09 19:00:00,NOROESTE2,Lunes,1.86,4.5,27.1,31.6,21,73,19.77,704,0,59,2.9,,19.8,10.2,
2023-01-09 20:00:00,2023-01-09 20:00:00,NOROESTE2,Lunes,1.91,24.9,39.6,64.4,7,66,22.74,704.4,0,62,2.8,,18.82,7.5,
2023-01-09 21:00:00,2023-01-09 21:00:00,NOROESTE2,Lunes,1.92,38.6,42.3,80.6,4,77,24.75,704.7,0,65,2.9,,17.34,2.8,
2023-01-09 22:00:00,2023-01-09 22:00:00,NOROESTE2,Lunes,1.91,35.4,33.5,68.7,6,79,23.54,704.8,0,69,2.7,,16.25,3.8,
2023-01-09 23:00:00,2023-01-09 23:00:00,NOROESTE2,Lunes,1.93,50.5,34.6,84.9,5,67,25.9,704.8,0,71,2.8,,15.86,2.8,
2023-01-16 00:00:00,2023-01-16 00:00:00,NOROESTE2,Lunes,2.43,111.9,44.8,156.6,5,216.88,83.61,695.4,0,48,3.7,,16.11,2.7,
2023-01-16 01:00:00,2023-01-16 01:00:00,NOROESTE2,Lunes,2.52,13.6,32.7,46.2,8,116.53,39.28,695.2,0,43,3,,14.88,6.3,
2023-01-16 02:00:00,2023-01-16 02:00:00,NOROESTE2,Lunes,2.5,7,28.6,35.5,11,89.63,31.98,695,0,44,2.8,,14.59,5,
2023-01-16 03:00:00,2023-01-16 03:00:00,NOROESTE2,Lunes,2.5,9.8,31.2,41,8,100.72,31.09,694.7,0,45,2.8,,14.01,4.5,
2023-01-16 04:00:00,2023-01-16 04:00:00,NOROESTE2,Lunes,2.49,4,20,23.9,19,103.35,26.62,694.5,0,35,3.1,,16.37,8.8,
2023-01-16 05:00:00,2023-01-16 05:00:00,NOROESTE2,Lunes,2.53,4.3,6,10.2,27,79.55,9.9,695.1,0,14,2.8,,22.58,15.2,
2023-01-16 06:00:00,2023-01-16 06:00:00,NOROESTE2,Lunes,2.5,5.7,6,11.7,27,107.2,9.94,695.3,0,11,2.5,,24.01,17.9,
2023-01-16 07:00:00,2023-01-16 07:00:00,NOROESTE2,Lunes,2.45,7.1,8.3,15.3,27,107.15,11.28,695.6,0,11,2.5,,23.85,17.3,
2023-01-16 08:00:00,2023-01-16 08:00:00,NOROESTE2,Lunes,2.41,10,15,25,21,49.19,8.68,696.3,0,14,2.7,,22.22,15.5,
2023-01-16 09:00:00,2023-01-16 09:00:00,NOROESTE2,Lunes,2.45,10,10,19.9,26,73.92,9.66,696.8,0,12,2.6,,24.47,19.4,
2023-01-16 10:00:00,2023-01-16 10:00:00,NOROESTE2,Lunes,2.38,7,7.2,14.1,29,115.56,12.29,697.7,0,10,2.5,,26.06,19.5,
2023-01-16 11:00:00,2023-01-16 11:00:00,NOROESTE2,Lunes,2.32,7.5,6.7,13.8,31,46.89,7.18,698.1,0,9,2.5,,27.07,18.6,
2023-01-16 12:00:00,2023-01-16 12:00:00,NOROESTE2,Lunes,2.35,7.2,6.9,14,32,40.91,7.36,697.7,0,7,2.6,,28.55,16.3,
2023-01-16 13:00:00,2023-01-16 13:00:00,NOROESTE2,Lunes,2.33,8.3,8.1,16.3,33,58.2,7.61,696.8,0,6,2.6,,29.66,18.8,
2023-01-16 14:00:00,2023-01-16 14:00:00,NOROESTE2,Lunes,2.32,8.7,8.1,16.7,33,,7.21,695.8,0,4,2.5,,30.78,19.1,
