date,date,Estacion,weekday,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
2023-01-03 00:00:00,2023-01-03 00:00:00,NOROESTE2,Martes,2.08,38.2,29.1,67.2,5,173,28.42,696.8,0,33,2.9,,19.12,7.6,
2023-01-03 01:00:00,2023-01-03 01:00:00,NOROESTE2,Martes,2.09,11.2,23.6,34.7,7,96,12.45,697,0,30,2.8,,19.35,5.9,
2023-01-03 02:00:00,2023-01-03 02:00:00,NOROESTE2,Martes,2.18,5.2,15,20.2,13,49,9.34,697.1,0,26,2.6,,20.36,8.1,
2023-01-03 03:00:00,2023-01-03 03:00:00,NOROESTE2,Martes,2.11,3.4,3,6.3,24,34,4.42,697,0,18,2.3,,24.51,14.9,
2023-01-03 04:00:00,2023-01-03 04:00:00,NOROESTE2,Martes,2.12,3,2.7,5.5,24,31,3.66,697.6,0,21,2.1,,23.47,15.5,
2023-01-03 05:00:00,2023-01-03 05:00:00,NOROESTE2,Martes,2.1,4.4,3.8,8.1,24,26,5.07,697.8,0,22,2.2,,23.13,18.7,
2023-01-03 06:00:00,2023-01-03 06:00:00,NOROESTE2,Martes,2.11,6.2,5.7,11.9,23,34,4.65,698.1,0,22,2.2,,22.82,17.1,
2023-01-03 07:00:00,2023-01-03 07:00:00,NOROESTE2,Martes,2.06,7.7,7.5,15.1,22,29,3.75,698.4,0,22,2.2,,22.13,15.3,
2023-01-03 08:00:00,2023-01-03 08:00:00,NOROESTE2,Martes,2.04,10.8,12.2,23,18,15,4.97,698.6,0,23,2.2,,21.37,11.8,
2023-01-03 09:00:00,2023-01-03 09:00:00,NOROESTE2,Martes,2.04,10.1,12,22.1,18,22,4.87,699,0,21,2.3,,22.6,9.8,
2023-01-03 10:00:00,2023-01-03 10:00:00,NOROESTE2,Martes,1.97,8.8,9.1,17.9,24,24,4.4,699.3,0,16,2,,24.75,13.2,
2023-01-03 11:00:00,2023-01-03 11:00:00,NOROESTE2,Martes,2.02,8.3,6.9,15.2,27,30,3.3,699.3,0,13,2,,26.27,14.6,
2023-01-03 12:00:00,2023-01-03 12:00:00,NOROESTE2,Martes,1.99,7.3,6.7,14,27,21,3.96,698.7,0,13,2.1,,26.59,13.7,
2023-01-03 13:00:00,2023-01-03 13:00:00,NOROESTE2,Martes,1.96,7.5,13.1,20.6,30,33,9.1,697.7,0,14,3.3,,27.11,14.8,
