date,date,Estacion,weekday,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
2023-01-04 00:00:00,2023-01-04 00:00:00,NOROESTE2,Miércoles,2.02,98.5,40.3,138.6,4,87,21.4,701.6,0,33,4.3,,16.55,2.7,
2023-01-04 01:00:00,2023-01-04 01:00:00,NOROESTE2,Miércoles,2.03,26.9,32.4,59.2,5,88,16.8,701.8,0,35,3.2,,15.31,3.1,
2023-01-04 02:00:00,2023-01-04 02:00:00,NOROESTE2,Miércoles,2.02,21,29,49.9,5,61,18.95,701.9,0,36,3,,14.43,2.8,
2023-01-04 03:00:00,2023-01-04 03:00:00,NOROESTE2,Miércoles,2.01,18.4,31,49.2,3,63,19.06,701.5,0,39,2.8,,14.07,4,
2023-01-04 04:00:00,2023-01-04 04:00:00,NOROESTE2,Miércoles,2.07,15.6,30.5,46,4,92,20.92,701.2,0,38,3.1,,13.76,5.1,
2023-01-04 05:00:00,2023-01-04 05:00:00,NOROESTE2,Miércoles,2.1,20.8,31.3,52,3,79,17.65,701.6,0,38,3.2,,13.15,6.3,
2023-01-04 06:00:00,2023-01-04 06:00:00,NOROESTE2,Miércoles,2.07,47.9,35.7,83.5,3,61,17.99,701.9,0,38,3.5,,13.46,5.7,
2023-01-04 07:00:00,2023-01-04 07:00:00,NOROESTE2,Miércoles,2.03,61.2,34.5,95.5,3,76,17.41,702.4,0,38,3.3,,12.85,5.1,
2023-01-04 08:00:00,2023-01-04 08:00:00,NOROESTE2,Miércoles,2.07,63.9,33.5,97.2,4,71,20.64,703,0,39,3.6,,12.35,6.5,
2023-01-04 09:00:00,2023-01-04 09:00:00,NOROESTE2,Miércoles,2.06,59.5,33,92.3,5,94,22.75,704,0,33,5.5,,15.76,5.4,
2023-01-04 10:00:00,2023-01-04 10:00:00,NOROESTE2,Miércoles,2.05,31.7,29.8,61.3,11,97,26.01,704.5,0,27,10.9,,20.14,3.7,
2023-01-04 11:00:00,2023-01-04 11:00:00,NOROESTE2,Miércoles,2.03,13.9,20.7,35.5,23,109,19.13,704.6,0,24,7.9,,22.44,5.7,
2023-01-04 12:00:00,2023-01-04 12:00:00,NOROESTE2,Miércoles,2,6.7,12.1,18.7,34,71,11.82,704.4,0,23,4.3,,23.29,9.8,
2023-01-04 13:00:00,2023-01-04 13:00:00,NOROESTE2,Miércoles,2,7.9,18.9,26.9,39,47,15.51,703.7,0,22,4.8,,23.78,11.6,
2023-01-04 14:00:00,2023-01-04 14:00:00,NOROESTE2,Miércoles,2.03,6.9,20.8,27.8,47,58,17.52,703,0,22,5.2,,24.21,12.7,
2023-01-04 15:00:00,2023-01-04 15:00:00,NOROESTE2,Miércoles,2.03,5.5,18.1,23.7,55,67,16.51,702.7,0,22,7.6,,24.44,14.9,
2023-01-04 16:00:00,2023-01-04 16:00:00,NOROESTE2,Miércoles,2.01,5,16.9,21.8,57,78,16.26,702.4,0,24,7.1,,24.54,15,
2023-01-04 17:00:00,2023-01-04 17:00:00,NOROESTE2,Miércoles,2.05,4,17.8,21.8,71,78,15.6,702.3,0,25,10.6,,24.24,14.7,
2023-01-04 18:00:00,2023-01-04 18:00:00,NOROESTE2,Miércoles,2.04,3.8,25.1,28.8,61,83,17.16,702.6,0,26,13.4,,23.18,12.8,
2023-01-04 19:00:00,2023-01-04 19:00:00,NOROESTE2,Miércoles,2.07,3.8,33.6,37.2,36,73,18.54,703.1,0,30,7.7,,21.43,9.5,
2023-01-04 20:00:00,2023-01-04 20:00:00,NOROESTE2,Miércoles,2.06,7.1,50.6,57.6,13,88,23.24,703.8,0,34,5.4,,19.93,5.9,
2023-01-04 21:00:00,2023-01-04 21:00:00,NOROESTE2,Miércoles,2.08,37.3,54.8,91.9,5,98,28.12,704.4,0,37,4.4,,18.75,3.4,
2023-01-04 22:00:00,2023-01-04 22:00:00,NOROESTE2,Miércoles,2.06,37,44.8,81.6,10,114,20.9,704.8,0,39,4,,17.79,3.6,
2023-01-04 23:00:00,2023-01-04 23:00:00,NOROESTE2,Miércoles,2.07,66.6,47.3,113.8,7,70,26.34,705,0,41,3.7,,17.1,3,
2023-01-11 00:00:00,2023-01-11 00:00:00,NOROESTE2,Miércoles,2.08,33.9,46.3,80.1,7,208,43.49,701.9,0,47,2.7,,18.12,5.3,
2023-01-11 01:00:00,2023-01-11 01:00:00,NOROESTE2,Miércoles,2.05,5,22.7,27.7,22,110,24.42,702,0,44,2.5,,17.76,7.9,
2023-01-11 02:00:00,2023-01-11 02:00:00,NOROESTE2,Miércoles,2.15,4.3,22.8,27.1,17,53,23.9,701.8,0,48,2.4,,16.37,4.9,
2023-01-11 03:00:00,2023-01-11 03:00:00,NOROESTE2,Miércoles,2.15,4,23,26.9,17,47,21.53,701.4,0,47,2.4,,15.93,7.3,
2023-01-11 04:00:00,2023-01-11 04:00:00,NOROESTE2,Miércoles,2.14,5,26.9,31.8,13,49,22.05,701.1,0,48,2.4,,15.02,4.5,
2023-01-11 05:00:00,2023-01-11 05:00:00,NOROESTE2,Miércoles,2.13,8.1,27.6,35.7,12,52,21.21,700.8,0,49,2.3,,14.62,7.1,
2023-01-11 06:00:00,2023-01-11 06:00:00,NOROESTE2,Miércoles,2.16,48.7,36.9,85.4,6,48,23.46,700.4,0,46,2.6,,14.38,5.4,
2023-01-11 07:00:00,2023-01-11 07:00:00,NOROESTE2,Miércoles,2.17,29.3,37,66.1,5,77,21.47,700.4,0,43,2.5,,13.97,7.2,
2023-01-11 08:00:00,2023-01-11 08:00:00,NOROESTE2,Miércoles,2.15,27.2,35.6,62.6,5,71,28.15,700.9,0,40,2.2,,14.06,10.5,
2023-01-11 09:00:00,2023-01-11 09:00:00,NOROESTE2,Miércoles,2.18,20.8,28.5,49.2,12,97,22.28,701.4,0,33,2.5,,16.71,13.4,
2023-01-11 10:00:00,2023-01-11 10:00:00,NOROESTE2,Miércoles,2.16,16.5,21.8,38.2,19,122,21.2,701.7,0,30,2.7,,19.51,12.9,
2023-01-11 11:00:00,2023-01-11 11:00:00,NOROESTE2,Miércoles,2.13,10.9,15.2,26.3,26,115,17.67,701.8,0,23,3,,22.95,15.9,
2023-01-11 12:00:00,2023-01-11 12:00:00,NOROESTE2,Miércoles,2.14,9.1,14,23,31,84,12.25,701.1,0,17,2.7,,26.95,12.1,
2023-01-11 13:00:00,2023-01-11 13:00:00,NOROESTE2,Miércoles,2.15,7.4,12.1,19.5,36,51,10.71,699.9,0,12,2.6,,29.81,11.8,
2023-01-11 14:00:00,2023-01-11 14:00:00,NOROESTE2,Miércoles,2.19,7.8,10,17.7,38,41,7.48,698.7,0,6,2.4,,32.03,13,
2023-01-11 15:00:00,2023-01-11 15:00:00,NOROESTE2,Miércoles,2.19,7.3,16,23.2,41,48,9.95,698.2,0,6,3.1,,32.8,11.6,
2023-01-11 16:00:00,2023-01-11 16:00:00,NOROESTE2,Miércoles,2.17,5.4,28.6,33.9,63,64,25.02,698,0,11,4.4,,31.1,15.9,
2023-01-11 17:00:00,2023-01-11 17:00:00,NOROESTE2,Miércoles,2.19,4.2,26.4,30.6,65,100,22.62,698.2,0,12,3.6,,30.49,13.2,
2023-01-11 18:00:00,2023-01-11 18:00:00,NOROESTE2,Miércoles,2.2,4.1,33.5,37.5,47,86,19.37,698.6,0,17,5.5,,29.03,9.7,
2023-01-11 19:00:00,2023-01-11 19:00:00,NOROESTE2,Miércoles,2.1,23.8,67.1,90.8,17,82,25.43,699,0,21,4.8,,26.62,4.1,
2023-01-11 20:00:00,2023-01-11 20:00:00,NOROESTE2,Miércoles,2.13,191.3,82.5,273.7,7,112,48,699.6,0,25,5.4,,24.79,3.2,
2023-01-11 21:00:00,2023-01-11 21:00:00,NOROESTE2,Miércoles,2.22,111.2,73,184.1,5,239,69.8,700.2,0,28,4.3,,22.67,5.2,
2023-01-11 22:00:00,2023-01-11 22:00:00,NOROESTE2,Miércoles,2.31,123.6,65.8,189.3,4,243,73.48,700.4,0,32,4,,20.7,2.8,
2023-01-11 23:00:00,2023-01-11 23:00:00,NOROESTE2,Miércoles,2.36,205.7,62.7,267.7,4,226,82.23,700.4,0,36,4.3,,19.47,2.6,
2023-01-18 00:00:00,2023-01-18 00:00:00,NOROESTE2,Miércoles,1.92,53.2,40,93.1,4,112,34.32,693.9,0,54,3.7,,18.67,2.7,
2023-01-18 01:00:00,2023-01-18 01:00:00,NOROESTE2,Miércoles,1.83,17.3,32.6,49.7,8,156,35.27,693.8,0,55,3.2,,18.14,6.5,
2023-01-18 02:00:00,2023-01-18 02:00:00,NOROESTE2,Miércoles,1.66,5.6,27.6,33.1,10,118,31.67,693.7,0,56,3.1,,17.29,4.5,
2023-01-18 03:00:00,2023-01-18 03:00:00,NOROESTE2,Miércoles,1.5,4.1,22.1,26.2,15,96,29.53,693.4,0,54,3,,17.05,5.7,
2023-01-18 04:00:00,2023-01-18 04:00:00,NOROESTE2,Miércoles,1.44,4.3,23.7,27.9,12,68,29.84,693.1,0,53,2.9,,16.69,7.8,
2023-01-18 05:00:00,2023-01-18 05:00:00,NOROESTE2,Miércoles,1.29,5,12,16.9,20,78,15.32,692.8,0,28,4,,21.31,17.5,
2023-01-18 06:00:00,2023-01-18 06:00:00,NOROESTE2,Miércoles,1.2,9,13.7,22.6,18,54,10.6,693,0,22,3.8,,22.69,18.2,
2023-01-18 07:00:00,2023-01-18 07:00:00,NOROESTE2,Miércoles,1.19,8.4,10.7,19,20,63,14.23,693.6,0,19,3.5,,23.21,18.7,
2023-01-18 08:00:00,2023-01-18 08:00:00,NOROESTE2,Miércoles,1.16,7.9,8.5,16.3,21,141,11.32,694.6,0,14,2.6,,24.47,20.5,
2023-01-18 09:00:00,2023-01-18 09:00:00,NOROESTE2,Miércoles,1.14,7.1,7.3,14.4,23,140,9.22,695.5,0,11,2.5,,25.86,18.3,
2023-01-18 10:00:00,2023-01-18 10:00:00,NOROESTE2,Miércoles,1.15,8.8,7,15.8,25,75,6.45,696.3,0,10,2.3,,26.99,20.1,
2023-01-18 11:00:00,2023-01-18 11:00:00,NOROESTE2,Miércoles,1.14,8.3,6.3,14.4,26,65,4.91,696.7,0,9,2.3,,27.93,17.6,
2023-01-18 12:00:00,2023-01-18 12:00:00,NOROESTE2,Miércoles,1.13,6.5,5.5,11.9,29,44,4.31,696.4,0,6,2.2,,29.25,15.5,
2023-01-18 13:00:00,2023-01-18 13:00:00,NOROESTE2,Miércoles,1.18,5.8,11.3,17,36,37,19.87,695.9,0,24,5.5,,26.88,19.5,
2023-01-18 14:00:00,2023-01-18 14:00:00,NOROESTE2,Miércoles,1.18,5.3,10.5,15.7,40,202,19.38,695.5,0,28,5.4,,26.01,18.8,
2023-01-18 15:00:00,2023-01-18 15:00:00,NOROESTE2,Miércoles,1.19,4.9,10,14.8,42,134,19.14,695.3,0,28,4.4,,26.11,16.9,
2023-01-18 16:00:00,2023-01-18 16:00:00,NOROESTE2,Miércoles,1.18,4.6,9,13.5,40,101,15.67,695.5,0,28,4.1,,25.92,17.6,
2023-01-18 17:00:00,2023-01-18 17:00:00,NOROESTE2,Miércoles,1.18,4.6,10.6,15.1,36,81,13.59,695.6,0,28,3.8,,25.58,16.4,
2023-01-18 18:00:00,2023-01-18 18:00:00,NOROESTE2,Miércoles,1.18,4.4,14.7,19,31,70,12.91,696.3,0,28,3.5,,24.67,13.4,
2023-01-18 19:00:00,2023-01-18 19:00:00,NOROESTE2,Miércoles,1.26,4.5,18.5,23,22,60,14.87,697.2,0,30,3.4,,22.91,11.8,
2023-01-18 20:00:00,2023-01-18 20:00:00,NOROESTE2,Miércoles,1.28,4.1,19.1,23.2,20,61,13.07,698.1,0,32,3.3,,21.59,12.6,
2023-01-18 21:00:00,2023-01-18 21:00:00,NOROESTE2,Miércoles,1.31,9.4,24.2,33.6,15,60,12.93,698.8,0,33,3.6,,20.6,7.6,
2023-01-18 22:00:00,2023-01-18 22:00:00,NOROESTE2,Miércoles,1.44,29.5,37.2,66.6,5,54,16.2,699.3,0,37,3.9,,18.84,3.4,
2023-01-18 23:00:00,2023-01-18 23:00:00,NOROESTE2,Miércoles,1.6,43.5,39.9,83.3,4,58,22.98,699.6,0,38,4.2,,18.44,3.3,
2023-01-25 00:00:00,2023-01-25 00:00:00,NOROESTE2,Miércoles,1.52,13.3,22.7,35.9,12,32,8.03,701.7,0,61,2.4,,12.44,1.8,
2023-01-25 01:00:00,2023-01-25 01:00:00,NOROESTE2,Miércoles,1.53,18.2,26.7,44.7,8,28,9.31,701.4,0,62,2.3,,12.04,3,
2023-01-25 02:00:00,2023-01-25 02:00:00,NOROESTE2,Miércoles,1.55,5.9,24.8,30.6,9,36,10.32,701.6,0,53,2.3,,11.28,7.7,
2023-01-25 03:00:00,2023-01-25 03:00:00,NOROESTE2,Miércoles,1.47,3.6,14.1,17.6,19,46,7.16,701.9,0,44,2.2,,8.78,7.3,
2023-01-25 04:00:00,2023-01-25 04:00:00,NOROESTE2,Miércoles,1.44,3.4,15.8,19.1,18,42,7.83,702.1,0,42,2.3,,8.33,3.1,
2023-01-25 05:00:00,2023-01-25 05:00:00,NOROESTE2,Miércoles,1.5,11,24.5,35.3,10,36,12.28,702.4,0,42,2.4,,8.62,3.7,
2023-01-25 06:00:00,2023-01-25 06:00:00,NOROESTE2,Miércoles,1.64,55.8,30.1,85.7,4,59,20.88,702.7,0,49,2.7,,7.57,4.3,
2023-01-25 07:00:00,2023-01-25 07:00:00,NOROESTE2,Miércoles,1.82,69.9,30.6,100.3,4,93,20.71,703,0,51,2.8,,6.38,4.5,
2023-01-25 08:00:00,2023-01-25 08:00:00,NOROESTE2,Miércoles,2.11,104.8,32.6,137.2,4,99,25.19,703.9,0,50,3,,5.9,4.2,
2023-01-25 09:00:00,2023-01-25 09:00:00,NOROESTE2,Miércoles,2.24,46.7,29.6,76.1,7,118,19,704.8,0,42,4.1,,10.21,2.8,
2023-01-25 10:00:00,2023-01-25 10:00:00,NOROESTE2,Miércoles,2.18,27.5,26.6,53.8,12,81,22.57,705.6,0,35,6.1,,13.58,3.4,
2023-01-25 11:00:00,2023-01-25 11:00:00,NOROESTE2,Miércoles,2.03,28.7,28.5,56.9,15,98,21.36,705.7,0,30,6.5,,14.83,4.9,
2023-01-25 12:00:00,2023-01-25 12:00:00,NOROESTE2,Miércoles,1.91,16,20.6,36.5,23,104,16.4,704.7,0,25,5.7,,16.68,5.6,
2023-01-25 13:00:00,2023-01-25 13:00:00,NOROESTE2,Miércoles,1.77,15.5,24.2,39.7,26,67,18.94,703.6,0,23,5.5,,17.63,10.4,
2023-01-25 14:00:00,2023-01-25 14:00:00,NOROESTE2,Miércoles,1.77,15.3,27.6,42.8,29,90,22.14,702.7,0,22,6,,18.52,12.1,
2023-01-25 15:00:00,2023-01-25 15:00:00,NOROESTE2,Miércoles,1.76,12.1,27.4,39.3,34,97,24.16,702,0,20,5.6,,19.05,14.3,
2023-01-25 16:00:00,2023-01-25 16:00:00,NOROESTE2,Miércoles,1.79,9.2,27.2,36.3,38,99,26.1,701.9,0,20,4.4,,19.24,14.3,
