date,date,Estacion,weekday,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
2023-01-06 00:00:00,2023-01-06 00:00:00,NOROESTE2,Viernes,2.02,7.9,24,31.8,14,50,14.33,705.3,0,59,2.9,,18.36,8.7,
2023-01-06 01:00:00,2023-01-06 01:00:00,NOROESTE2,Viernes,2.03,7.4,26.3,33.6,11,54,18.17,705.2,0,63,2.8,,17.76,6.7,
2023-01-06 02:00:00,2023-01-06 02:00:00,NOROESTE2,Viernes,2.01,4.2,26.4,30.5,9,74,18.51,704.8,,69,2.7,,,,
2023-01-06 03:00:00,2023-01-06 03:00:00,NOROESTE2,Viernes,2.01,5.3,26.8,32,6,60,19.11,704.5,0,75,2.6,,14.62,3.3,
2023-01-06 04:00:00,2023-01-06 04:00:00,NOROESTE2,Viernes,2.04,4.3,16.3,20.6,9,62,27.08,704.5,0,81,2.6,,14.5,6.3,
2023-01-06 05:00:00,2023-01-06 05:00:00,NOROESTE2,Viernes,1.98,6.6,19.5,26.2,6,58,43.7,704.5,0,85,2.6,,14.05,4.6,
2023-01-06 06:00:00,2023-01-06 06:00:00,NOROESTE2,Viernes,2.03,31.2,25.6,56.6,3,82,47.8,704.5,0,85,2.8,,13.82,3.3,
2023-01-06 07:00:00,2023-01-06 07:00:00,NOROESTE2,Viernes,2.02,39.4,29.2,68.5,3,110,67.7,704.5,0,85,2.8,,14.12,3.8,
2023-01-06 08:00:00,2023-01-06 08:00:00,NOROESTE2,Viernes,1.98,45.5,30.9,76.2,3,137,81.11,704.9,0,84,2.7,,14.23,4.3,
2023-01-06 09:00:00,2023-01-06 09:00:00,NOROESTE2,Viernes,2,26.4,29.2,55.4,4,161,59.54,705.3,0,83,2.7,,14.35,4.5,
2023-01-06 10:00:00,2023-01-06 10:00:00,NOROESTE2,Viernes,2.05,20.5,25.6,45.9,7,133,55.81,705.6,0,81,2.7,,15.01,4.1,
2023-01-06 11:00:00,2023-01-06 11:00:00,NOROESTE2,Viernes,2.01,19.8,22.3,42.1,13,126,60.54,705.6,0,71,2.6,,18.09,4.1,
2023-01-06 12:00:00,2023-01-06 12:00:00,NOROESTE2,Viernes,1.99,12.9,19.9,32.8,23,124,56.67,705,0,55,3.4,,21.35,4.2,
2023-01-06 13:00:00,2023-01-06 13:00:00,NOROESTE2,Viernes,1.95,7.9,16.6,24.5,35,113,43.18,704.1,0,49,3.8,,22.63,7,
2023-01-06 14:00:00,2023-01-06 14:00:00,NOROESTE2,Viernes,2,7.6,22.8,30.4,44,99,52.09,703.1,0,48,3.8,,23.19,9.8,
2023-01-06 15:00:00,2023-01-06 15:00:00,NOROESTE2,Viernes,2.01,6.2,24.2,30.4,57,130,51.51,702.6,0,45,3.8,,23.68,12.6,
2023-01-06 16:00:00,2023-01-06 16:00:00,NOROESTE2,Viernes,1.99,5.5,26.1,31.5,64,131,46.78,702.3,0,41,3.7,,23.87,14.7,
2023-01-06 17:00:00,2023-01-06 17:00:00,NOROESTE2,Viernes,1.97,5,23.1,28.1,60,119,38.47,702.3,0,45,3.2,,23.57,14.5,
2023-01-06 18:00:00,2023-01-06 18:00:00,NOROESTE2,Viernes,2,4.4,21.6,26,42,100,26.97,702.3,0,46,3.1,,22.96,12.3,
2023-01-06 19:00:00,2023-01-06 19:00:00,NOROESTE2,Viernes,2.01,4.4,27.7,32,24,81,24.69,702.4,0,49,2.9,,21.93,10.9,
2023-01-06 20:00:00,2023-01-06 20:00:00,NOROESTE2,Viernes,2.04,4.8,30.7,35.5,15,80,25.72,702.8,0,53,2.7,,20.95,9.5,
2023-01-06 21:00:00,2023-01-06 21:00:00,NOROESTE2,Viernes,2.06,18.4,38.8,57.1,6,84,32.44,703,0,57,2.8,,19.97,5.3,
2023-01-06 22:00:00,2023-01-06 22:00:00,NOROESTE2,Viernes,2.02,93.2,44.5,137.5,3,95,37.4,703.3,0,60,3.1,,19,2.5,
2023-01-06 23:00:00,2023-01-06 23:00:00,NOROESTE2,Viernes,2.09,125.3,43.9,169,4,114,36.87,703.2,0,62,3.3,,18.49,2.7,
2023-01-13 00:00:00,2023-01-13 00:00:00,NOROESTE2,Viernes,2.35,14.4,27.8,42.2,12,45,9.72,710.2,0,29,3,,12.25,6.7,
2023-01-13 01:00:00,2023-01-13 01:00:00,NOROESTE2,Viernes,2.32,6.8,29,35.7,11,51,9.15,710.2,0,32,2.7,,11.47,4,
2023-01-13 02:00:00,2023-01-13 02:00:00,NOROESTE2,Viernes,2.32,4.2,18.4,22.6,18,42,8.37,710.2,0,34,2.5,,10.55,5.8,
2023-01-13 03:00:00,2023-01-13 03:00:00,NOROESTE2,Viernes,2.32,4.4,18.3,22.7,16,37,12.38,710.2,0,36,2.5,,10.27,3.8,
2023-01-13 04:00:00,2023-01-13 04:00:00,NOROESTE2,Viernes,2.33,3.4,16.8,20.2,13,30,21.46,710.2,0,39,2.4,,8.99,2.3,
2023-01-13 05:00:00,2023-01-13 05:00:00,NOROESTE2,Viernes,2.29,15.8,24.8,40.5,8,48,33.94,710.2,0,40,2.5,,8.51,4.4,
