window,cluster,feature,n_in_cluster,shapiro_p
evening_peak,0,PM10,3883,1.1337648171809208e-10
evening_peak,0,O3,3883,6.625083909069912e-08
evening_peak,0,NOX,3883,6.23169268496634e-11
evening_peak,1,PM10,4504,1.686862440465889e-13
evening_peak,1,O3,4504,4.350288966272621e-14
evening_peak,1,NOX,4504,4.070196653610802e-32
evening_peak,2,PM10,1793,3.1033294006151225e-08
evening_peak,2,O3,1793,3.9628956027009655e-12
evening_peak,2,NOX,1793,4.176923229427387e-06
evening_peak,3,PM10,273,1.4570264879587347e-21
evening_peak,3,O3,273,0.03740627314407653
evening_peak,3,NOX,273,8.957198596972309e-17
evening_peak,4,PM10,4221,5.66265770845763e-17
evening_peak,4,O3,4221,1.1399691630637583e-10
evening_peak,4,NOX,4221,6.268461055572083e-15
evening_peak,5,PM10,1472,1.236005121451627e-15
evening_peak,5,O3,1472,1.525056504155034e-29
evening_peak,5,NOX,1472,9.298124031101493e-30
