window,cluster,feature,n_in_cluster,shapiro_p
midday,0,PM10,3430,4.356697217489306e-11
midday,0,O3,3430,2.240603315432235e-35
midday,0,NOX,3430,1.2519817415922351e-14
midday,1,PM10,4659,2.8051605225826406e-19
midday,1,O3,4659,2.3040521448782932e-12
midday,1,NOX,4659,2.5372710033807817e-21
midday,2,PM10,1655,2.7119417935172194e-10
midday,2,O3,1655,6.172076352522364e-27
midday,2,NOX,1655,2.8761594941668203e-31
midday,3,PM10,6688,2.794646119880287e-20
midday,3,O3,6688,4.5852519962279364e-37
midday,3,NOX,6688,1.5039485883271112e-24
midday,4,PM10,7389,2.0989786141993307e-26
midday,4,O3,7389,1.9700114181561072e-23
midday,4,NOX,7389,1.5142376547962466e-26
midday,5,PM10,407,1.707691719140137e-20
midday,5,O3,407,6.057077520597943e-08
midday,5,NOX,407,2.1268355247857288e-20
