window,cluster,feature,n_in_cluster,shapiro_p
morning_peak,0,PM10,4832,7.585394444736058e-19
morning_peak,0,NOX,4832,7.765438375627622e-27
morning_peak,0,NO,4832,1.0053801730993341e-34
morning_peak,1,PM10,4079,9.126109386755318e-15
morning_peak,1,NOX,4079,1.940075153817388e-26
morning_peak,1,NO,4079,9.929089884864754e-21
morning_peak,2,PM10,1503,4.151921941434933e-15
morning_peak,2,NOX,1503,3.705764761212147e-22
morning_peak,2,NO,1503,5.9342502764482065e-22
morning_peak,3,PM10,450,1.4051287906332965e-11
morning_peak,3,NOX,450,4.3559572791582073e-13
morning_peak,3,NO,450,5.065981319368326e-20
morning_peak,4,PM10,175,3.635874905219643e-13
morning_peak,4,NOX,175,2.780859779313058e-12
morning_peak,4,NO,175,4.746533943172055e-16
morning_peak,5,PM10,5113,1.3105349189792835e-28
morning_peak,5,NOX,5113,6.636633140857433e-17
morning_peak,5,NO,5113,6.720439522153269e-19
