window,cluster,feature,n_in_cluster,shapiro_p
night,0,PM10,4365,8.932468324265601e-20
night,0,NOX,4365,3.1017724858553225e-11
night,0,O3,4365,1.2468709839486258e-18
night,1,PM10,8551,7.23262638096057e-15
night,1,NOX,8551,2.428465600600901e-40
night,1,O3,8551,3.958297899343447e-35
night,2,PM10,18107,3.186983431695078e-23
night,2,NOX,18107,3.372865862572228e-52
night,2,O3,18107,6.219015751789489e-24
night,3,PM10,583,2.552447335532505e-16
night,3,NOX,583,4.343606195928306e-24
night,3,O3,583,1.3142339773207497e-17
night,4,PM10,2946,8.448134785963598e-20
night,4,NOX,2946,2.1819221406184682e-40
night,4,O3,2946,7.877536453433859e-27
night,5,PM10,5828,6.142820437286829e-14
night,5,NOX,5828,3.6981051153876184e-27
night,5,O3,5828,1.2340456924475078e-21
