date,station,time_window,NOX,CO,PM10,PM2.5,O3,NO,NO2,SO2,cluster
2023-01-02 16:00:00,NOROESTE2,evening_peak,15.7,2.14,51.0,5.62,23.0,8.2,7.5,2.1,2
2023-01-02 17:00:00,NOROESTE2,evening_peak,19.5,2.03,40.0,4.24,22.0,9.5,10.0,2.1,2
2023-01-02 18:00:00,NOROESTE2,evening_peak,20.9,2.03,21.0,4.46,21.0,10.3,10.6,2.0,2
2023-01-02 19:00:00,NOROESTE2,evening_peak,54.8,2.03,21.0,8.18,11.0,29.2,25.6,2.5,0
2023-01-03 16:00:00,NOROESTE2,evening_peak,23.2,2.0,73.0,10.27,43.0,5.5,17.7,3.1,0
2023-01-03 17:00:00,NOROESTE2,evening_peak,24.3,2.02,65.0,12.17,47.0,4.4,19.8,3.3,0
2023-01-03 18:00:00,NOROESTE2,evening_peak,28.7,1.97,75.0,12.77,41.0,3.9,24.8,3.7,0
2023-01-03 19:00:00,NOROESTE2,evening_peak,36.9,1.99,72.0,15.56,29.0,4.5,32.5,5.3,0
2023-01-04 16:00:00,NOROESTE2,evening_peak,21.8,2.01,78.0,16.26,57.0,5.0,16.9,7.1,0
2023-01-04 17:00:00,NOROESTE2,evening_peak,21.8,2.05,78.0,15.6,71.0,4.0,17.8,10.6,0
2023-01-04 18:00:00,NOROESTE2,evening_peak,28.8,2.04,83.0,17.16,61.0,3.8,25.1,13.4,0
2023-01-04 19:00:00,NOROESTE2,evening_peak,37.2,2.07,73.0,18.54,36.0,3.8,33.6,7.7,0
2023-01-05 16:00:00,NOROESTE2,evening_peak,22.7,2.04,122.0,20.37,62.0,4.9,17.8,4.9,0
2023-01-05 17:00:00,NOROESTE2,evening_peak,24.7,2.0,97.0,19.9,78.0,4.2,20.6,8.6,0
2023-01-05 18:00:00,NOROESTE2,evening_peak,27.3,2.04,91.0,22.09,79.0,3.8,23.6,16.7,0
2023-01-05 19:00:00,NOROESTE2,evening_peak,42.1,2.05,92.0,20.85,37.0,3.9,38.3,7.2,0
2023-01-06 16:00:00,NOROESTE2,evening_peak,31.5,1.99,131.0,46.78,64.0,5.5,26.1,3.7,0
2023-01-06 17:00:00,NOROESTE2,evening_peak,28.1,1.97,119.0,38.47,60.0,5.0,23.1,3.2,0
2023-01-06 18:00:00,NOROESTE2,evening_peak,26.0,2.0,100.0,26.97,42.0,4.4,21.6,3.1,0
2023-01-06 19:00:00,NOROESTE2,evening_peak,32.0,2.01,81.0,24.69,24.0,4.4,27.7,2.9,0
2023-01-09 16:00:00,NOROESTE2,evening_peak,31.5,1.88,96.0,38.11,53.0,5.2,26.4,3.9,0
2023-01-09 17:00:00,NOROESTE2,evening_peak,25.4,1.93,98.0,25.89,45.0,5.0,20.5,3.6,0
2023-01-09 18:00:00,NOROESTE2,evening_peak,25.0,1.85,82.0,21.94,38.0,4.1,20.9,3.2,0
2023-01-09 19:00:00,NOROESTE2,evening_peak,31.6,1.86,73.0,19.77,21.0,4.5,27.1,2.9,0
2023-01-10 16:00:00,NOROESTE2,evening_peak,22.6,2.05,57.0,20.99,52.0,4.8,17.9,3.1,0
2023-01-10 17:00:00,NOROESTE2,evening_peak,27.6,2.02,70.0,24.08,58.0,4.6,23.0,3.4,0
2023-01-10 18:00:00,NOROESTE2,evening_peak,33.1,1.94,69.0,27.82,56.0,3.9,29.3,3.5,0
2023-01-10 19:00:00,NOROESTE2,evening_peak,40.3,1.98,83.0,28.71,42.0,4.4,36.0,3.2,0
2023-01-11 16:00:00,NOROESTE2,evening_peak,33.9,2.17,64.0,25.02,63.0,5.4,28.6,4.4,0
2023-01-11 17:00:00,NOROESTE2,evening_peak,30.6,2.19,100.0,22.62,65.0,4.2,26.4,3.6,0
2023-01-11 18:00:00,NOROESTE2,evening_peak,37.5,2.2,86.0,19.37,47.0,4.1,33.5,5.5,0
2023-01-11 19:00:00,NOROESTE2,evening_peak,90.8,2.1,82.0,25.43,17.0,23.8,67.1,4.8,0
2023-01-12 16:00:00,NOROESTE2,evening_peak,12.6,2.36,55.0,9.16,41.0,4.4,8.3,2.7,2
2023-01-12 17:00:00,NOROESTE2,evening_peak,14.2,2.38,104.0,6.38,38.0,4.4,9.9,2.6,0
2023-01-12 18:00:00,NOROESTE2,evening_peak,16.5,2.41,54.0,12.28,32.0,4.1,12.4,3.1,2
2023-01-12 19:00:00,NOROESTE2,evening_peak,21.1,2.37,110.0,12.99,27.0,4.1,17.1,5.0,0
2023-01-13 16:00:00,NOROESTE2,evening_peak,24.9,2.19,57.0,15.04,42.0,6.7,18.2,3.4,0
2023-01-13 17:00:00,NOROESTE2,evening_peak,25.4,2.26,69.0,12.88,40.0,5.8,19.6,3.6,0
2023-01-13 18:00:00,NOROESTE2,evening_peak,28.7,2.28,64.0,16.71,51.0,4.0,24.7,5.4,0
2023-01-13 19:00:00,NOROESTE2,evening_peak,30.8,2.23,88.0,17.05,44.0,3.5,27.4,10.2,0
2023-01-16 16:00:00,NOROESTE2,evening_peak,15.3,0.86,62.0,4.86,31.0,7.9,7.4,2.5,2
2023-01-16 17:00:00,NOROESTE2,evening_peak,28.1,1.1,41.0,24.54678288150424,27.0,11.5,16.7,6.4,0
2023-01-16 18:00:00,NOROESTE2,evening_peak,34.7,1.19,92.0,47.39,21.0,15.0,19.7,4.3,0
2023-01-16 19:00:00,NOROESTE2,evening_peak,30.4,1.16,58.0,18.24,25.0,4.7,25.8,8.3,0
2023-01-17 16:00:00,NOROESTE2,evening_peak,22.9,1.21,83.0,19.37,50.0,5.6,17.3,4.9,0
2023-01-17 17:00:00,NOROESTE2,evening_peak,32.1,1.32,107.0,27.97,63.0,4.6,27.6,6.3,0
2023-01-17 18:00:00,NOROESTE2,evening_peak,40.1,1.41,122.0,31.88,57.0,4.1,36.1,10.9,0
2023-01-17 19:00:00,NOROESTE2,evening_peak,67.5,1.53,126.0,32.23,29.0,12.6,55.0,10.8,0
2023-01-18 16:00:00,NOROESTE2,evening_peak,13.5,1.18,101.0,15.67,40.0,4.6,9.0,4.1,0
2023-01-18 17:00:00,NOROESTE2,evening_peak,15.1,1.18,81.0,13.59,36.0,4.6,10.6,3.8,0
2023-01-18 18:00:00,NOROESTE2,evening_peak,19.0,1.18,70.0,12.91,31.0,4.4,14.7,3.5,0
2023-01-18 19:00:00,NOROESTE2,evening_peak,23.0,1.26,60.0,14.87,22.0,4.5,18.5,3.4,0
2023-01-19 16:00:00,NOROESTE2,evening_peak,17.5,1.23,172.0,12.19,33.0,6.2,11.3,4.6,0
2023-01-19 17:00:00,NOROESTE2,evening_peak,17.8,1.25,72.0,10.12,32.0,5.8,12.0,3.9,0
2023-01-19 18:00:00,NOROESTE2,evening_peak,21.6,1.29,57.0,10.92,28.0,5.2,16.4,3.6,0
2023-01-19 19:00:00,NOROESTE2,evening_peak,30.9,1.4,58.0,12.11,18.0,5.3,25.6,3.9,0
2023-01-20 16:00:00,NOROESTE2,evening_peak,30.0,1.49,89.0,26.39,40.0,7.8,22.1,6.0,0
2023-01-20 17:00:00,NOROESTE2,evening_peak,27.9,1.52,94.0,26.52,38.0,6.2,21.7,5.5,0
2023-01-20 18:00:00,NOROESTE2,evening_peak,35.7,1.57,88.0,23.14,26.0,6.0,29.8,4.4,0
2023-01-20 19:00:00,NOROESTE2,evening_peak,37.7,1.6,88.0,24.35,22.0,4.6,33.2,3.6,0
2023-01-23 16:00:00,NOROESTE2,evening_peak,16.2,1.43,12.0,11.58,23.0,4.4,11.9,2.0,2
2023-01-23 17:00:00,NOROESTE2,evening_peak,17.2,1.42,20.0,10.1,21.0,4.4,12.9,2.1,2
2023-01-23 18:00:00,NOROESTE2,evening_peak,20.4,1.44,11.0,6.68,19.0,4.7,15.7,2.1,2
2023-01-23 19:00:00,NOROESTE2,evening_peak,20.1,1.46,13.0,7.61,19.0,4.6,15.5,2.1,2
2023-01-24 16:00:00,NOROESTE2,evening_peak,16.6,1.5,87.0,15.23,34.0,5.6,11.1,2.9,0
2023-01-24 17:00:00,NOROESTE2,evening_peak,14.6,1.48,69.0,12.53,31.0,4.9,9.7,2.8,0
2023-01-24 18:00:00,NOROESTE2,evening_peak,16.0,1.44,66.0,10.93,26.0,4.6,11.4,2.8,0
2023-01-24 19:00:00,NOROESTE2,evening_peak,19.5,1.47,63.0,9.08,22.0,4.7,14.8,2.5,2
2023-01-25 16:00:00,NOROESTE2,evening_peak,36.3,1.79,99.0,26.1,38.0,9.2,27.2,4.4,0
2023-01-25 17:00:00,NOROESTE2,evening_peak,32.3,1.78,102.0,24.04,38.0,6.8,25.5,3.9,0
2023-01-25 18:00:00,NOROESTE2,evening_peak,25.7,1.73,102.0,18.08,38.0,4.3,21.4,3.5,0
2023-01-25 19:00:00,NOROESTE2,evening_peak,28.2,1.7,77.0,15.42,29.0,3.6,24.6,3.0,0
2023-01-26 16:00:00,NOROESTE2,evening_peak,20.3,1.59,45.0,14.2,30.0,5.0,15.4,2.7,2
2023-01-26 17:00:00,NOROESTE2,evening_peak,18.1,1.59,41.0,12.03,31.0,4.0,14.2,2.7,2
2023-01-26 18:00:00,NOROESTE2,evening_peak,21.5,1.59,42.0,12.04,27.0,4.3,17.3,2.7,2
2023-01-26 19:00:00,NOROESTE2,evening_peak,22.1,1.6,44.0,12.11,26.0,4.4,17.7,2.6,2
2023-01-27 16:00:00,NOROESTE2,evening_peak,26.4,1.61,47.0,35.04,27.0,7.6,18.8,3.4,0
2023-01-27 17:00:00,NOROESTE2,evening_peak,32.8,1.62,65.0,41.2,26.0,7.4,25.4,2.9,0
2023-01-27 18:00:00,NOROESTE2,evening_peak,43.8,1.8,86.0,45.96,19.0,7.8,36.0,2.8,0
2023-01-27 19:00:00,NOROESTE2,evening_peak,47.8,1.89,95.0,39.33,11.0,6.9,41.1,2.7,0
