date,station,time_window,NOX,CO,PM10,PM2.5,O3,NO,NO2,SO2,cluster
2023-01-02 10:00:00,NOROESTE2,midday,24.2,2.07,59.0,8.37,17.0,11.1,13.1,2.9,3
2023-01-02 11:00:00,NOROESTE2,midday,17.4,2.02,56.0,7.24,22.0,9.5,7.8,2.6,4
2023-01-02 12:00:00,NOROESTE2,midday,14.5,2.03,66.0,8.5,24.0,7.6,7.0,2.3,4
2023-01-02 13:00:00,NOROESTE2,midday,12.8,2.04,138.0,11.22,26.0,6.9,5.9,2.2,5
2023-01-02 14:00:00,NOROESTE2,midday,13.9,2.02,183.0,13.04,26.0,7.3,6.7,2.3,2
2023-01-02 15:00:00,NOROESTE2,midday,15.4,2.12,191.0,5.28,25.0,7.4,8.1,2.3,5
2023-01-03 10:00:00,NOROESTE2,midday,17.9,1.97,24.0,4.4,24.0,8.8,9.1,2.0,4
2023-01-03 11:00:00,NOROESTE2,midday,15.2,2.02,30.0,3.3,27.0,8.3,6.9,2.0,4
2023-01-03 12:00:00,NOROESTE2,midday,14.0,1.99,21.0,3.96,27.0,7.3,6.7,2.1,4
2023-01-03 13:00:00,NOROESTE2,midday,20.6,1.96,33.0,9.1,30.0,7.5,13.1,3.3,4
2023-01-03 14:00:00,NOROESTE2,midday,22.4,2.04,99.0,10.55,35.0,6.9,15.5,3.1,2
2023-01-03 15:00:00,NOROESTE2,midday,21.1,2.0,93.0,9.43,39.0,6.0,15.1,3.2,2
2023-01-04 10:00:00,NOROESTE2,midday,61.3,2.05,97.0,26.01,11.0,31.7,29.8,10.9,0
2023-01-04 11:00:00,NOROESTE2,midday,35.5,2.03,109.0,19.13,23.0,13.9,20.7,7.9,2
2023-01-04 12:00:00,NOROESTE2,midday,18.7,2.0,71.0,11.82,34.0,6.7,12.1,4.3,2
2023-01-04 13:00:00,NOROESTE2,midday,26.9,2.0,47.0,15.51,39.0,7.9,18.9,4.8,3
2023-01-04 14:00:00,NOROESTE2,midday,27.8,2.03,58.0,17.52,47.0,6.9,20.8,5.2,2
2023-01-04 15:00:00,NOROESTE2,midday,23.7,2.03,67.0,16.51,55.0,5.5,18.1,7.6,2
2023-01-05 10:00:00,NOROESTE2,midday,63.7,2.09,76.0,21.89,12.0,31.2,32.7,5.9,0
2023-01-05 11:00:00,NOROESTE2,midday,67.1,2.06,82.0,28.97,20.0,29.7,36.1,22.8,0
2023-01-05 12:00:00,NOROESTE2,midday,25.3,1.98,84.0,17.98,40.0,7.3,18.0,8.4,2
2023-01-05 13:00:00,NOROESTE2,midday,36.4,2.01,57.0,30.04,44.0,9.5,27.0,6.3,2
2023-01-05 14:00:00,NOROESTE2,midday,23.6,1.98,139.0,22.34,54.0,6.2,17.4,5.2,2
2023-01-05 15:00:00,NOROESTE2,midday,22.4,2.0,115.0,21.36,59.0,5.3,17.2,4.9,2
2023-01-06 10:00:00,NOROESTE2,midday,45.9,2.05,133.0,55.81,7.0,20.5,25.6,2.7,0
2023-01-06 11:00:00,NOROESTE2,midday,42.1,2.01,126.0,60.54,13.0,19.8,22.3,2.6,0
2023-01-06 12:00:00,NOROESTE2,midday,32.8,1.99,124.0,56.67,23.0,12.9,19.9,3.4,2
2023-01-06 13:00:00,NOROESTE2,midday,24.5,1.95,113.0,43.18,35.0,7.9,16.6,3.8,2
2023-01-06 14:00:00,NOROESTE2,midday,30.4,2.0,99.0,52.09,44.0,7.6,22.8,3.8,2
2023-01-06 15:00:00,NOROESTE2,midday,30.4,2.01,130.0,51.51,57.0,6.2,24.2,3.8,0
2023-01-09 10:00:00,NOROESTE2,midday,29.9,1.85,58.0,26.48,15.0,11.4,18.6,2.8,3
2023-01-09 11:00:00,NOROESTE2,midday,35.7,1.84,70.0,31.33,17.0,13.7,21.4,4.2,0
2023-01-09 12:00:00,NOROESTE2,midday,23.9,1.85,68.0,26.09,25.0,8.9,15.1,8.1,0
2023-01-09 13:00:00,NOROESTE2,midday,22.0,1.86,53.0,32.78,32.0,7.0,15.1,7.3,3
2023-01-09 14:00:00,NOROESTE2,midday,21.0,1.86,65.0,32.25,45.0,5.3,15.7,5.4,2
2023-01-09 15:00:00,NOROESTE2,midday,28.2,1.83,78.0,39.49,55.0,4.9,23.4,4.2,2
2023-01-10 10:00:00,NOROESTE2,midday,48.0,1.94,100.0,36.22,15.0,21.6,26.5,2.7,0
2023-01-10 11:00:00,NOROESTE2,midday,36.9,1.95,102.0,32.42,24.0,14.5,22.4,3.0,2
2023-01-10 12:00:00,NOROESTE2,midday,27.6,1.93,86.0,26.78,35.0,9.8,17.8,3.6,3
2023-01-10 13:00:00,NOROESTE2,midday,16.8,2.0,63.0,17.32,43.0,5.6,11.3,3.4,1
2023-01-10 14:00:00,NOROESTE2,midday,10.3,2.02,43.0,10.33,43.0,3.8,6.6,2.8,5
2023-01-10 15:00:00,NOROESTE2,midday,17.7,2.0,23.0,17.06,49.0,4.7,13.1,3.2,1
2023-01-11 10:00:00,NOROESTE2,midday,38.2,2.16,122.0,21.2,19.0,16.5,21.8,2.7,0
2023-01-11 11:00:00,NOROESTE2,midday,26.3,2.13,115.0,17.67,26.0,10.9,15.2,3.0,2
2023-01-11 12:00:00,NOROESTE2,midday,23.0,2.14,84.0,12.25,31.0,9.1,14.0,2.7,2
2023-01-11 13:00:00,NOROESTE2,midday,19.5,2.15,51.0,10.71,36.0,7.4,12.1,2.6,4
2023-01-11 14:00:00,NOROESTE2,midday,17.7,2.19,41.0,7.48,38.0,7.8,10.0,2.4,4
2023-01-11 15:00:00,NOROESTE2,midday,23.2,2.19,48.0,9.95,41.0,7.3,16.0,3.1,2
2023-01-12 10:00:00,NOROESTE2,midday,63.7,2.44,220.0,35.4,12.0,29.5,34.4,5.3,0
2023-01-12 11:00:00,NOROESTE2,midday,32.2,2.39,155.0,18.92,24.0,11.8,20.7,5.5,0
2023-01-12 12:00:00,NOROESTE2,midday,19.2,2.45,206.0,12.29,33.0,7.4,11.9,3.7,2
2023-01-12 13:00:00,NOROESTE2,midday,11.1,2.43,128.0,9.35,39.0,4.6,6.6,2.8,5
2023-01-12 14:00:00,NOROESTE2,midday,11.0,2.41,107.0,7.75,40.0,4.4,6.7,2.7,5
2023-01-12 15:00:00,NOROESTE2,midday,11.0,2.43,74.0,7.38,42.0,4.2,6.9,2.7,5
2023-01-13 10:00:00,NOROESTE2,midday,37.1,2.33,111.0,14.21,17.0,15.8,21.3,3.9,0
2023-01-13 11:00:00,NOROESTE2,midday,31.6,2.28,52.0,10.62,25.0,12.9,17.6,3.4,2
2023-01-13 12:00:00,NOROESTE2,midday,20.0,2.29,39.0,9.85,31.0,7.7,12.3,3.5,4
2023-01-13 13:00:00,NOROESTE2,midday,21.1,2.29,43.0,11.87,34.0,7.7,13.4,3.7,4
2023-01-13 14:00:00,NOROESTE2,midday,19.5,2.28,50.0,10.54,37.0,6.8,12.8,3.3,4
2023-01-13 15:00:00,NOROESTE2,midday,20.2,2.25,43.0,16.54,41.0,6.0,14.2,3.3,1
2023-01-16 10:00:00,NOROESTE2,midday,14.1,2.38,115.56,12.29,29.0,7.0,7.2,2.5,5
2023-01-16 11:00:00,NOROESTE2,midday,13.8,2.32,46.89,7.18,31.0,7.5,6.7,2.5,4
2023-01-16 12:00:00,NOROESTE2,midday,14.0,2.35,40.91,7.36,32.0,7.2,6.9,2.6,4
2023-01-16 13:00:00,NOROESTE2,midday,16.3,2.33,58.2,7.61,33.0,8.3,8.1,2.6,4
2023-01-16 14:00:00,NOROESTE2,midday,16.7,2.32,54.8275203860869,7.21,33.0,8.7,8.1,2.5,4
2023-01-16 15:00:00,NOROESTE2,midday,16.4,0.93,55.9465398286379,7.45,32.0,8.8,7.7,2.5,4
2023-01-17 10:00:00,NOROESTE2,midday,98.6,1.73,109.0,60.22,9.0,58.2,40.6,7.3,0
2023-01-17 11:00:00,NOROESTE2,midday,86.3,1.82,225.0,49.43,16.0,45.2,39.2,14.2,0
2023-01-17 12:00:00,NOROESTE2,midday,30.0,1.5,142.0,23.5,33.0,8.6,21.4,8.3,2
2023-01-17 13:00:00,NOROESTE2,midday,26.9,1.38,127.0,19.57,36.0,7.8,19.1,7.0,2
2023-01-17 14:00:00,NOROESTE2,midday,22.2,1.29,198.0,17.63,44.0,6.7,15.5,6.2,2
2023-01-17 15:00:00,NOROESTE2,midday,19.4,1.2,228.0,16.72,47.0,5.7,13.7,5.0,2
2023-01-18 10:00:00,NOROESTE2,midday,15.8,1.15,75.0,6.45,25.0,8.8,7.0,2.3,4
2023-01-18 11:00:00,NOROESTE2,midday,14.4,1.14,65.0,4.91,26.0,8.3,6.3,2.3,4
2023-01-18 12:00:00,NOROESTE2,midday,11.9,1.13,44.0,4.31,29.0,6.5,5.5,2.2,4
2023-01-18 13:00:00,NOROESTE2,midday,17.0,1.18,37.0,19.87,36.0,5.8,11.3,5.5,3
2023-01-18 14:00:00,NOROESTE2,midday,15.7,1.18,202.0,19.38,40.0,5.3,10.5,5.4,2
