date,station,time_window,NOX,CO,PM10,PM2.5,O3,NO,NO2,SO2,cluster
2023-01-02 06:00:00,NOROESTE2,morning_peak,13.6,2.17,52.0,9.12,21.0,5.5,8.1,3.8,1
2023-01-02 07:00:00,NOROESTE2,morning_peak,15.2,2.11,60.0,4.79,19.0,7.3,8.0,3.3,1
2023-01-02 08:00:00,NOROESTE2,morning_peak,39.2,2.07,40.0,5.6,13.0,23.1,16.3,3.2,0
2023-01-02 09:00:00,NOROESTE2,morning_peak,37.8,2.08,42.0,9.61,12.0,20.3,17.6,3.2,2
2023-01-03 06:00:00,NOROESTE2,morning_peak,11.9,2.11,34.0,4.65,23.0,6.2,5.7,2.2,1
2023-01-03 07:00:00,NOROESTE2,morning_peak,15.1,2.06,29.0,3.75,22.0,7.7,7.5,2.2,1
2023-01-03 08:00:00,NOROESTE2,morning_peak,23.0,2.04,15.0,4.97,18.0,10.8,12.2,2.2,0
2023-01-03 09:00:00,NOROESTE2,morning_peak,22.1,2.04,22.0,4.87,18.0,10.1,12.0,2.3,0
2023-01-04 06:00:00,NOROESTE2,morning_peak,83.5,2.07,61.0,17.99,3.0,47.9,35.7,3.5,2
2023-01-04 07:00:00,NOROESTE2,morning_peak,95.5,2.03,76.0,17.41,3.0,61.2,34.5,3.3,2
2023-01-04 08:00:00,NOROESTE2,morning_peak,97.2,2.07,71.0,20.64,4.0,63.9,33.5,3.6,2
2023-01-04 09:00:00,NOROESTE2,morning_peak,92.3,2.06,94.0,22.75,5.0,59.5,33.0,5.5,2
2023-01-05 06:00:00,NOROESTE2,morning_peak,91.6,2.07,60.0,23.63,4.0,54.2,37.6,2.9,0
2023-01-05 07:00:00,NOROESTE2,morning_peak,96.0,2.1,96.0,23.58,3.0,56.4,39.8,2.8,0
2023-01-05 08:00:00,NOROESTE2,morning_peak,76.8,2.1,92.0,22.36,4.0,38.1,38.9,2.9,0
2023-01-05 09:00:00,NOROESTE2,morning_peak,62.4,2.08,82.0,21.06,9.0,28.9,33.7,3.8,2
2023-01-06 06:00:00,NOROESTE2,morning_peak,56.6,2.03,82.0,47.8,3.0,31.2,25.6,2.8,2
2023-01-06 07:00:00,NOROESTE2,morning_peak,68.5,2.02,110.0,67.7,3.0,39.4,29.2,2.8,2
2023-01-06 08:00:00,NOROESTE2,morning_peak,76.2,1.98,137.0,81.11,3.0,45.5,30.9,2.7,2
2023-01-06 09:00:00,NOROESTE2,morning_peak,55.4,2.0,161.0,59.54,4.0,26.4,29.2,2.7,2
2023-01-09 06:00:00,NOROESTE2,morning_peak,19.7,1.91,31.0,12.21,18.0,5.6,14.2,2.274999693363124,0
2023-01-09 07:00:00,NOROESTE2,morning_peak,40.1,1.95,34.0,14.58,10.0,17.8,22.5,2.3,0
2023-01-09 08:00:00,NOROESTE2,morning_peak,42.9,1.9,40.0,17.13,8.0,20.4,22.6,2.3,0
2023-01-09 09:00:00,NOROESTE2,morning_peak,48.5,1.87,45.0,19.46,8.0,24.4,24.2,2.499999622853986,0
2023-01-10 06:00:00,NOROESTE2,morning_peak,55.7,1.9,73.0,37.09,4.0,24.6,31.3,2.5,2
2023-01-10 07:00:00,NOROESTE2,morning_peak,69.1,1.91,82.0,36.06,3.0,35.2,34.0,2.5,2
2023-01-10 08:00:00,NOROESTE2,morning_peak,77.5,1.89,79.0,39.63,4.0,44.6,33.0,2.6,2
2023-01-10 09:00:00,NOROESTE2,morning_peak,62.7,1.96,99.0,37.65,8.0,31.2,31.7,2.5,0
2023-01-11 06:00:00,NOROESTE2,morning_peak,85.4,2.16,48.0,23.46,6.0,48.7,36.9,2.6,0
2023-01-11 07:00:00,NOROESTE2,morning_peak,66.1,2.17,77.0,21.47,5.0,29.3,37.0,2.5,0
2023-01-11 08:00:00,NOROESTE2,morning_peak,62.6,2.15,71.0,28.15,5.0,27.2,35.6,2.2,0
