date,station,time_window,NOX,CO,PM10,PM2.5,O3,NO,NO2,SO2,cluster,cluster_semantic,supervised_label
2023-01-02 00:00:00,NOROESTE2,night,36.7,2.16,65.0,26.67,12.0,10.3,26.5,3.1,C1,Tráfico alto,Tráfico alto
2023-01-02 01:00:00,NOROESTE2,night,24.0,2.15,54.0,23.77,15.0,6.4,17.6,2.8,C1,Tráfico alto,Tráfico alto
2023-01-02 02:00:00,NOROESTE2,night,27.8,2.14,44.0,26.98,12.0,8.3,19.6,2.6,C1,Tráfico alto,Tráfico alto
2023-01-02 03:00:00,NOROESTE2,night,22.0,2.16,48.0,29.05,12.0,4.2,17.9,2.5,C1,Tráfico alto,Tráfico alto
2023-01-02 04:00:00,NOROESTE2,night,14.5,2.12,58.0,22.9,23.0,3.8,10.8,2.6,C0,Mixto,Tráfico alto
2023-01-02 05:00:00,NOROESTE2,night,15.1,2.21,47.0,17.36,25.0,5.0,10.2,2.9,C0,Mixto,Tráfico alto
2023-01-02 20:00:00,NOROESTE2,night,56.5,2.04,42.0,28.85,10.0,12.0,44.6,3.4,C1,Tráfico alto,Tráfico alto
2023-01-02 21:00:00,NOROESTE2,night,116.3,2.07,100.0,30.67,5.0,66.6,49.9,3.6,C1,Tráfico alto,Tráfico alto
2023-01-02 22:00:00,NOROESTE2,night,171.9,2.04,113.0,43.43,4.0,124.2,47.8,3.7,C1,Tráfico alto,Tráfico alto
2023-01-02 23:00:00,NOROESTE2,night,148.5,2.14,166.0,46.33,4.0,107.5,41.2,3.4,C1,Tráfico alto,Tráfico alto
2023-01-03 00:00:00,NOROESTE2,night,67.2,2.08,173.0,28.42,5.0,38.2,29.1,2.9,C1,Tráfico alto,Tráfico alto
2023-01-03 01:00:00,NOROESTE2,night,34.7,2.09,96.0,12.45,7.0,11.2,23.6,2.8,C1,Tráfico alto,Tráfico alto
2023-01-03 02:00:00,NOROESTE2,night,20.2,2.18,49.0,9.34,13.0,5.2,15.0,2.6,C1,Tráfico alto,Tráfico alto
